group_id,group_domain,control_id,control_name,sub_domain,description,type,function,risk_level,objective,key_challenges,strategic_risks,deployment_exposure_context,use_case_scope,mapped_failure_ids,rationale_summary,mapped_compensation_ids,observations
CRT-G-06,Behavioural and Human Factor Risks,CRT-C-0033,Secure-by-Design UX Practices,Secure UX & Safe Defaults,Integrates security cues and safe defaults within user interfaces to reduce behavioural errors and accidental exposures.,Supplemental,Preventative,Moderate,Guide secure behaviour by design rather than relying solely on training.,"Balancing usability with control enforcement, inconsistent UX patterns, resource constraints.","Misconfiguration, user bypass of controls, cognitive overload.",Software and platform development with user interaction layers.,SME → Enterprise.,FM-004;FM-012;FM-033;FM-026;FM-041;FM-018,Complex UX or poor workflow design encourages circumvention of intended security controls.,CRT-N-0057; CRT-N-0059,Reinforces “secure usability” principle; supports risk reduction through intuitive design.
CRT-G-06,Behavioural and Human Factor Risks,CRT-C-0034,Behavioural Baseline Monitoring,Behavioural Analytics,Establishes behavioural norms for digital interactions to detect anomalies or shifts that may indicate compromise or stress.,Supplemental,Detective,Moderate,Enable early detection of behavioural deviations linked to insider threat or burnout.,"Privacy balance, false correlation, limited contextual data.","Insider risk escalation, reduced morale, trust erosion.",Internal analytics programmes; best integrated with employee wellbeing and HR processes.,SME → Enterprise.,FM-003;FM-005;FM-011;FM-015;FM-026;FM-034;FM-036;FM-041;FM-039,Drift in behavioural patterns or overconfidence in baseline models causes latent exposure.,CRT-N-0077; CRT-N-0080; CRT-N-0081,Bridge between cyber analytics and human factors; fosters proactive intervention culture.
CRT-G-06,Behavioural and Human Factor Risks,CRT-C-0035,Clear Reporting Channels and Protections,Speak-Up & Reporting Channels,"Establishes confidential, non-punitive mechanisms for employees to report security incidents or suspicious behaviour.",Common,Preventative / Corrective,Moderate,Encourage timely reporting and cultural trust without fear of retribution.,"Perceived retaliation risk, inconsistent follow-up, awareness gaps.","Unreported incidents, delayed containment, regulatory non-disclosure.",Universal organisational policy; must integrate with ethics and HR frameworks.,Personal → SME → Enterprise.,FM-005;FM-019;FM-034;FM-038;FM-041;FM-042,Staff hesitate to report anomalies if reporting pathways are unclear or culturally unsafe.,CRT-N-0059,Cultural linchpin of behavioural security; reinforces accountability and openness.
CRT-G-06,Behavioural and Human Factor Risks,CRT-C-0036,Fatigue and Burnout Monitoring,Workforce Resilience & Fatigue,Implements processes and tooling to identify workload imbalance or stress conditions linked to security control failures.,Contextual,Preventative / Detective,Moderate,Maintain staff effectiveness and reduce error likelihood under operational stress.,"Privacy compliance, subjective data accuracy, lack of organisational focus.","Operational error, oversight fatigue, insider negligence.","Security operations, IT administration, and high-intensity response functions.",SME → Enterprise.,FM-004;FM-005;FM-018;FM-019;FM-026;FM-034;FM-041;FM-036,Human exhaustion reduces detection performance and coordination quality across teams.,CRT-N-0015;CRT-N-0021,Often overlooked resilience layer; vital for sustaining human performance in defence environments.
CRT-G-07,Regulatory and Framework Alignment,CRT-C-0037,Security Policy Framework,Security Policy Governance,"Establishes and maintains a unified, documented set of security policies governing behaviour, technology, and governance expectations.",Common,Preventative,High,Provide authoritative guidance and accountability for security obligations across the organisation.,"Policy sprawl, poor version control, limited enforcement visibility.","Inconsistent control adoption, regulatory non-compliance, audit failure.",Applies enterprise-wide; foundation for certification readiness and cultural consistency.,SME → Enterprise.,FM-018;FM-022;FM-021;FM-037;FM-031;FM-011;FM-041;FM-034;FM-039;FM-023;FM-042,Outdated or inconsistent policies create control drift and weak governance visibility.,CRT-N-0017; CRT-N-0018; CRT-N-0013; CRT-N-0014,Anchors every domain of the CRT catalogue; direct alignment with ISO 27001 Clause 5 and Annex A.5.
CRT-G-07,Regulatory and Framework Alignment,CRT-C-0038,Risk Assessment Methodology,Cyber Risk Methodology,"Defines a repeatable method for identifying, analysing, and prioritising cyber-risk scenarios across organisational assets.",Common,Preventative / Detective,High,"Ensure proportional, evidence-based allocation of control investment and effort.","Subjectivity, data scarcity, inconsistent scoring models.","Mis-prioritised defences, poor resource allocation, strategic blind spots.",Organisation-wide risk and assurance programmes.,SME → Enterprise.,FM-037;FM-018;FM-034;FM-033;FM-023;FM-021;FM-022;FM-029;FM-041;FM-039,Static or incomplete assessment models lead to misplaced confidence and poor prioritisation. Governance controls ensure AI and change management remain traceable and risk-aligned.,CRT-N-0011; CRT-N-0042; CRT-N-0043; CRT-N-0044; CRT-N-0045; CRT-N-0039,Core reference for aligning with NIST CSF Identify function (ID.RA).
CRT-G-07,Regulatory and Framework Alignment,CRT-C-0039,Data Protection and Privacy Governance,Privacy Governance,"Establishes accountability, oversight, and data-handling standards to ensure privacy obligations under frameworks such as GDPR or CCPA.",Common,Preventative / Corrective,High,Protect personal and sensitive data while demonstrating compliance transparency.,"Cross-border data flows, consent management, continuous compliance.","Legal sanctions, loss of trust, reputational harm.",All business functions processing personal or regulated data.,Personal → Enterprise.,FM-012;FM-013;FM-024;FM-042;FM-038;FM-021;FM-022;FM-039,Poor governance on data lineage and tagging causes privacy breaches and compliance exposure. Privacy-governance frameworks mediate conflicting regional disclosure laws.,CRT-N-0003; CRT-N-0037; CRT-N-0061; CRT-N-0062; CRT-N-0063,"Integrates legal, operational, and technical safeguards; aligned with ISO 27701."
CRT-G-07,Regulatory and Framework Alignment,CRT-C-0040,Compliance Monitoring and Reporting,Compliance Operations,Establishes procedures and tooling for continuous oversight of control performance and compliance status.,Common,Detective,Moderate,Detect deviation from mandated frameworks or internal policy obligations.,"Data fragmentation, report latency, incomplete scope.","Audit failure, non-compliance penalties, management blind spots.",GRC platforms and compliance teams; links directly with assurance processes.,SME → Enterprise.,FM-023;FM-021;FM-022;FM-037;FM-042;FM-041;FM-034;FM-018;FM-039,"Weak assurance processes prevent visibility of ongoing control deterioration. Compliance reporting ensures timely, jurisdiction-appropriate notifications.",CRT-N-0013; CRT-N-0014; CRT-N-0015; CRT-N-0019; CRT-N-0020; CRT-N-0021; CRT-N-0049; CRT-N-0051,Supports DORA and COBIT governance alignment; critical for board-level oversight.
CRT-G-07,Regulatory and Framework Alignment,CRT-C-0041,Vendor Risk and Compliance Assurance,Vendor Compliance Assurance,Extends compliance checks and attestations to critical suppliers and outsourced partners.,Supplemental,Preventative / Detective,Moderate,Confirm external entities maintain equivalent levels of control maturity and compliance posture.,"Data-sharing reluctance, uneven jurisdictional requirements.","Regulatory exposure through suppliers, fragmented oversight.",Third-party governance and procurement processes.,SME → Enterprise.,FM-009;FM-013;FM-038;FM-042;FM-023;FM-021;FM-022;FM-037;FM-031;FM-039,Vendors unaligned with internal standards weaken organisational compliance posture.,CRT-N-0022; CRT-N-0023; CRT-N-0024; CRT-N-0025; CRT-N-0026; CRT-N-0027; CRT-N-0028; CRT-N-0029; CRT-N-0030; CRT-N-0031,Bridges regulatory oversight between CRT-G-05 (Vendor Risk) and compliance domains.
CRT-G-07,Regulatory and Framework Alignment,CRT-C-0042,Incident Reporting and Breach Notification,Regulatory Incident Notifications,"Defines structured timelines, escalation criteria, and authority-specific notification templates for security incidents.",Common,Corrective,High,"Ensure timely, transparent, and compliant disclosure to regulators, partners, and affected parties.","Jurisdictional variance, incomplete impact assessment, communication clarity.","Legal non-compliance, reputational damage, operational disruption.",Applies to all digital-service providers and regulated entities.,SME → Enterprise.,FM-042;FM-019;FM-017;FM-036;FM-034;FM-021;FM-023;FM-041,Lack of clarity on escalation criteria and timing leads to late or incomplete breach disclosures.,CRT-N-0095; CRT-N-0096; CRT-N-0086; CRT-N-0087; CRT-N-0088; CRT-N-0089,Harmonises with GDPR Articles 33–34 and DORA incident-reporting mandates.
CRT-G-08,Emerging Technologies and Systemic Risks,CRT-C-0043,IoT Device Risk Management,IoT/OT Asset Security,"Establishes inventory, configuration, and lifecycle controls for Internet of Things and operational-technology assets.",Common,Preventative / Detective,High,Contain and mitigate exposure introduced by network-connected devices.,"Firmware visibility, update constraints, shadow IoT proliferation.","Lateral-movement compromise, privacy breaches, physical disruption.","Manufacturing, facilities, healthcare, and any mixed OT/IT environments.",SME → Enterprise.,FM-011;FM-032;FM-031;FM-018;FM-037;FM-029;FM-024;FM-041,"Unmanaged device sprawl and vendor lock-in introduce unpatchable, long-tail risk.",CRT-N-0032; CRT-N-0071; CRT-N-0075; CRT-N-0079,Extends perimeter visibility to embedded systems; aligns with NIST IR 8228.
CRT-G-08,Emerging Technologies and Systemic Risks,CRT-C-0044,Blockchain Integrity and Privacy Measures,Blockchain Security Controls,"Defines integrity-checking, key-management, and data-obfuscation practices for blockchain-based systems.",Contextual,Preventative / Corrective,Moderate,Preserve data authenticity and privacy across distributed-ledger environments.,"Key loss, immutability of sensitive data, governance fragmentation.","Data-exposure irreversibility, protocol vulnerabilities, compliance gaps.",Smart-contract and digital-asset platforms.,SME → Enterprise.,FM-014;FM-024;FM-029;FM-028;FM-039;FM-037,Weak key custody or consensus errors erode cryptographic trust foundations.,CRT-N-0047; CRT-N-0061; CRT-N-0062; CRT-N-0063,Ensures verifiable integrity while mitigating over-transparency risks.
CRT-G-08,Emerging Technologies and Systemic Risks,CRT-C-0045,Federated Identity Security Frameworks,Decentralised & Federated Identity,Implements governance and trust validation for federated and decentralised identity models.,Supplemental,Preventative,High,Ensure secure interoperability and revocation control across multiple domains.,"Token-standard divergence, issuer trust, cross-domain liability.","Identity takeover, replay attacks, trust-anchor collapse.","Cross-organisation SSO, government-ID federations, decentralised ID systems.",SME → Enterprise.,FM-009;FM-003;FM-015;FM-025;FM-041;FM-037;FM-039,Federation logic drift or token re-use undermines identity assurance chains.,CRT-N-0053; CRT-N-0054; CRT-N-0055; CRT-N-0056; CRT-N-0057,Foundational to zero-trust architectures; links to NIST SP 800-63 and W3C DID models.
CRT-G-08,Emerging Technologies and Systemic Risks,CRT-C-0046,AI Model Security and Explainability,AI Model Risk & Explainability,"Applies controls for dataset integrity, model drift detection, and interpretability assurance in AI systems.",Common,Preventative / Detective,High,"Maintain trust, fairness, and traceability of automated decision processes.","Opaque logic paths, bias propagation, data-poisoning detection.","Regulatory exposure, ethical misuse, systemic propagation of error.","AI-enabled analytics, fraud detection, and automation workflows.",SME → Enterprise.,FM-028;FM-027;FM-034;FM-036;FM-039;FM-033;FM-024;FM-026,Unvalidated model inputs or explainability gaps distort interpretability and trust. Governance checkpoints and explainability validation maintain accountability in AI-driven control loops.,CRT-N-0018; CRT-N-0019; CRT-N-0020; CRT-N-0039; CRT-N-0043; CRT-N-0044; CRT-N-0049; CRT-N-0050,Bridges technical and governance domains; aligned with NIST AI RMF.
CRT-G-08,Emerging Technologies and Systemic Risks,CRT-C-0063,AI System Hardening and Abuse Prevention,Artificial Intelligence Security Architecture,"Implements technical and procedural safeguards to detect, prevent, and respond to malicious prompt injection, model manipulation, or autonomous exploit chaining within AI systems.",Common,Preventative,High,"Preserve integrity, confidentiality, and safe operation of AI systems under adversarial or abnormal conditions.","Dynamic threat vectors, opaque model behaviours, dependency on third-party model supply chains, difficulty verifying prompt and data integrity.","Compromised AI decisioning, automated exploit escalation, reputational damage, breach of safety or ethics thresholds.","Applied to internal and third-party AI models, APIs, and autonomous logic layers operating in production or hybrid cloud environments.","Model hosting environments, AI inference pipelines, agent orchestration systems, prompt gateways, and embedded ML integrations.",FM-028;FM-030;FM-036;FM-033;FM-041;FM-039;FM-025;FM-005,"Reinforces defensive depth for AI systems by addressing model-level, data-level, and behavioural exploitation pathways. Enables early detection of adversarial activity and controlled containment of AI-driven incidents.",CRT-N-0039; CRT-N-0040; CRT-N-0041; CRT-N-0042; CRT-N-0079; CRT-N-0080; CRT-N-0081,"Extendable to LLMs, generative models, and autonomous agents. Integration with runtime telemetry and provenance tracking is critical."
CRT-G-08,Emerging Technologies and Systemic Risks,CRT-C-0064,AI Output Safety and Human-Oversight Controls,AI Governance and Decision Integrity,"Establishes layered safeguards ensuring that AI-generated outputs, recommendations, or automations undergo context validation, human-oversight review, and risk scoring before execution or dissemination.",Common,Preventative / Detective,High,"Ensure human accountability, contextual accuracy, and ethical safety in AI-mediated outcomes.","Over-reliance on automated logic, context drift, bias amplification, limited interpretability, and inconsistent human oversight.","Harmful or misleading outputs, operational disruption, regulatory exposure, and reputational degradation.","Applied across AI-assisted decision engines, automated communication systems, workflow orchestration, and public-facing AI interfaces.","AI content generation, financial or operational recommendations, autonomous control actions, and interactive user-facing models.",FM-039;FM-034;FM-018;FM-021;FM-033;FM-027;FM-036,"Introduces governance guardrails and human-in-the-loop validation to prevent AI systems from executing or communicating unsafe, biased, or contextually incorrect actions.",CRT-N-0013; CRT-N-0014; CRT-N-0017; CRT-N-0018; CRT-N-0019; CRT-N-0020; CRT-N-0021,"Complements CRT-C-0046 and CRT-C-0063; together they provide a full AI-resilience triad (integrity, explainability, oversight)."
CRT-G-08,Emerging Technologies and Systemic Risks,CRT-C-0047,Edge Computing Security Posture,Edge Node Security,"Applies isolation, authentication, and telemetry standards to distributed edge-node environments.",Supplemental,Preventative / Detective,Moderate,Reduce attack propagation between central and peripheral nodes.,"Hardware diversity, latency constraints, limited monitoring reach.","Lateral compromise, configuration drift, uncoordinated patch cycles.","Edge-IoT, 5G MEC, and industrial gateways.",SME → Enterprise.,FM-031;FM-009;FM-036;FM-024;FM-037;FM-029;FM-030;FM-041,Edge deployments decentralise risk visibility and introduce control fragmentation.,CRT-N-0032; CRT-N-0033; CRT-N-0034; CRT-N-0071; CRT-N-0075; CRT-N-0079,Integrates network-and-device hygiene; critical for near-real-time systems.
CRT-G-08,Emerging Technologies and Systemic Risks,CRT-C-0048,Systemic Risk Stress Testing,Systemic Resilience Stress Testing,Models multi-layered interdependencies to test resilience under cascading-failure scenarios.,Contextual,Detective / Corrective,High,Quantify compound impact and evaluate control-chain saturation thresholds.,"Complex data integration, limited historical precedents, simulation fidelity.","Underestimated exposure, chain-reaction failures, policy misalignment.","Cross-infrastructure, financial-services, and public-sector ecosystems.",Enterprise → National.,FM-029;FM-030;FM-037;FM-034;FM-021;FM-023;FM-039;FM-018,Overconfidence in resilience metrics or under-tested dependencies masks cascade exposure. Scenario simulation and AI model auditing sustain operational confidence.,CRT-N-0042; CRT-N-0043; CRT-N-0011; CRT-N-0019; CRT-N-0020,Connects cyber resilience with systemic-risk regulation; aligns with DORA and FCA operational-resilience guidance.
CRT-G-09,"Crisis, Monitoring, and Response",CRT-C-0049,Security Monitoring and Anomaly Detection,Security Telemetry & Analytics,"Aggregates and correlates telemetry across networks, endpoints, and applications to detect suspicious or anomalous activity.",Common,Detective,High,Provide continuous visibility and accelerate threat discovery before impact escalation.,"Signal overload, false positives, siloed data sources.","Missed detection, delayed containment, operational paralysis.",SOC and hybrid-cloud observability environments.,SME → Enterprise.,FM-003;FM-007;FM-017;FM-018;FM-036;FM-037;FM-035;FM-031;FM-030;FM-028;FM-033;FM-039;FM-023,Poorly aligned log sources or decaying detection logic delay anomaly visibility. Extended telemetry validation and secure forwarding reduce event-stream tampering and silent loss. Mapping shared dependencies and sequencing control execution prevents recursive or circular control failure.,CRT-N-0068; CRT-N-0075; CRT-N-0077; CRT-N-0078; CRT-N-0079; CRT-N-0080; CRT-N-0081; CRT-N-0082; CRT-N-0083; CRT-N-0084,Foundational control supporting all CRT domains; aligns with NIST CSF DE.AE.
CRT-G-09,"Crisis, Monitoring, and Response",CRT-C-0050,Incident Response Frameworks,Incident Response Playbooks,"Defines structured playbooks, escalation routes, and communication templates for security incidents.",Common,Corrective,High,"Coordinate technical, legal, and communication responses efficiently under pressure.","Unclear roles, incomplete data, cross-team latency.","Extended outage, stakeholder confusion, legal exposure.",All operational domains; integrated with continuity and crisis-management plans.,SME → Enterprise.,FM-019;FM-034;FM-040;FM-041;FM-030;FM-023;FM-017;FM-021;FM-024;FM-035;FM-042,Lack of rehearsal and ownership clarity leads to fragmented response and slow restoration.,CRT-N-0085; CRT-N-0086; CRT-N-0087; CRT-N-0088; CRT-N-0089; CRT-N-0090; CRT-N-0091; CRT-N-0092; CRT-N-0093; CRT-N-0094; CRT-N-0099; CRT-N-0100; CRT-N-0102; CRT-N-0103; CRT-N-0104,Maps directly to ISO 27035 and NIST SP 800-61 Incident-Handling Guide.
CRT-G-09,"Crisis, Monitoring, and Response",CRT-C-0051,Vulnerability Monitoring and Patch Management,Vulnerability & Patch Operations,Implements continuous vulnerability assessment and coordinated patch cycles across assets.,Common,Preventative / Corrective,High,Reduce exposure window between disclosure and remediation.,"Legacy systems, operational downtime, fragmented ownership.","Known-vulnerability exploitation, compliance breach.",Hybrid infrastructure; requires asset and CMDB integration.,SME → Enterprise.,FM-002;FM-011;FM-032;FM-018;FM-037;FM-029;FM-030;FM-010;FM-015;FM-003,Weak patch cadence and asset tracking increase exploit windows.,CRT-N-0039; CRT-N-0065; CRT-N-0066; CRT-N-0067; CRT-N-0084; CRT-N-0046,Directly supports CIS Controls 3 and 7; essential for preventive resilience.
CRT-G-09,"Crisis, Monitoring, and Response",CRT-C-0052,Threat Intelligence Integration,Threat Intelligence Fusion,"Consumes, normalises, and correlates threat-intelligence feeds with internal telemetry for proactive defence.",Supplemental,Detective / Preventative,Moderate,Enable anticipatory response and contextual situational awareness.,"Feed quality, duplication, integration overhead.","Delayed detection of emerging threats, wasted analytic effort.","SOC, SIEM, and Threat-Hunting operations.",SME → Enterprise.,FM-035;FM-017;FM-036;FM-039;FM-033;FM-028;FM-009;FM-023,Uncorrelated feeds or model bias cause alert fatigue and misinterpretation. Mapping shared dependencies and sequencing control execution prevents recursive or circular control failure. Dependency and data-integrity checks sustain reliable analytics and prevent feedback-loop amplification.,CRT-N-0040; CRT-N-0041; CRT-N-0042; CRT-N-0043; CRT-N-0084; CRT-N-0081,Aligns with MITRE ATT&CK and threat-intel sharing (STIX/TAXII) standards.
CRT-G-09,"Crisis, Monitoring, and Response",CRT-C-0053,Post-Incident Analysis and Lessons Learned,Post-Incident Review & Learning,"Formalises the capture of root causes, remediation outcomes, and systemic-improvement actions after incidents.",Common,Corrective,Moderate,Transform reactive lessons into proactive resilience improvements.,"Poor documentation, repetition of past errors, cultural inertia.","Recurring vulnerabilities, audit findings, knowledge loss.",Post-incident review processes linked to risk registers.,SME → Enterprise.,FM-034;FM-033;FM-021;FM-023;FM-018;FM-035;FM-040,Missed review cycles or overconfidence in restoration mask latent risk.,CRT-N-0091; CRT-N-0092; CRT-N-0093; CRT-N-0094; CRT-N-0099; CRT-N-0104; CRT-N-0049; CRT-N-0050; CRT-N-0051,Feeds directly into continuous-improvement loops (ISO 27001 PDCA).
CRT-G-09,"Crisis, Monitoring, and Response",CRT-C-0054,Crisis Communication Strategies,Crisis Communications,"Establishes coordinated communication channels, approval hierarchies, and external messaging protocols during crises.",Contextual,Corrective,High,Protect trust and ensure consistent internal and external messaging under stress.,"Message latency, conflicting narratives, lack of prepared templates.","Public misinformation, stakeholder panic, regulatory repercussions.",Executive and communications functions integrated with incident response.,SME → Enterprise.,FM-019;FM-042;FM-040;FM-034;FM-041;FM-021;FM-024,"Lack of communication structure fuels confusion, reputational damage, and delayed action.",CRT-N-0095; CRT-N-0096; CRT-N-0089; CRT-N-0105; CRT-N-0106; CRT-N-0086,Bridges cyber response and corporate reputation management.
CRT-G-09,"Crisis, Monitoring, and Response",CRT-C-0061,Recovery Communication & Coordination,Incident Recovery Communication,"Defines coordinated communication, stakeholder notification, and decision authority during recovery operations to maintain confidence and clarity across internal and external audiences.",Common,Corrective,Moderate–High,"Ensure consistent, timely, and authoritative information flow during post-incident recovery.","Conflicting priorities, unclear authority, fragmented reporting, and lack of real-time situational awareness.","Reputational damage, regulatory non-compliance, delayed recovery, and stakeholder mistrust.","Enterprise crisis-management and incident-response programmes across digital, operational, and communications functions.","Business continuity, cybersecurity incident recovery, stakeholder communications, regulatory notifications.",FM-020;FM-040;FM-019;FM-042;FM-024;FM-034;FM-021;FM-017,Strengthens the communication and coordination interface between recovery teams and leadership to maintain stakeholder confidence and compliance obligations.,CRT-N-0099; CRT-N-0100; CRT-N-0101; CRT-N-0102; CRT-N-0103; CRT-N-0104; CRT-N-0105; CRT-N-0106,Must integrate with both crisis-response (RS.CO) and recovery-plan (RC.CO) procedures.
CRT-G-10,Physical and Environmental Security,CRT-C-0055,Secure Data Centre Access,Data Centre Physical Security,"Implements layered access controls (badging, biometrics, CCTV) and visitor-management procedures for all data-centre and comms-room environments.",Common,Preventative,High,Restrict physical access to critical infrastructure and maintain full audit traceability.,"Shared-facility dependency, vendor oversight, insider risk.","Asset compromise, hardware tampering, service disruption.",On-premise and colocation data centres.,SME → Enterprise.,FM-005;FM-001;FM-015;FM-041;FM-036;FM-024;FM-018;FM-017,Physical access weaknesses or poor audit coverage expose sensitive environments.,CRT-N-0058; CRT-N-0076; CRT-N-0077; CRT-N-0061; CRT-N-0032,Baseline physical-layer safeguard; aligned with ISO 27001 Annex A.11.
CRT-G-10,Physical and Environmental Security,CRT-C-0056,Mobile Device Security Policies,Mobile & BYOD Security,"Defines configuration baselines, encryption requirements, and remote-wipe capabilities for corporate and BYOD devices.",Common,Preventative / Corrective,Moderate,Prevent data leakage or compromise via portable endpoints.,"User non-compliance, fragmented OS versions, limited telemetry.","Credential theft, regulatory breach, data-loss exposure.","Workforce mobility, hybrid-work models.",Personal → Enterprise.,FM-003;FM-011;FM-032;FM-015;FM-024;FM-001;FM-018;FM-007;FM-036,Portable devices expand attack surface and often bypass classification or patch routines.,CRT-N-0053; CRT-N-0054; CRT-N-0055; CRT-N-0061; CRT-N-0062; CRT-N-0063; CRT-N-0069; CRT-N-0071,Interfaces with access-control domains (CRT-G-02); core to zero-trust edge enforcement.
CRT-G-10,Physical and Environmental Security,CRT-C-0057,Hardware Asset Management,Hardware Asset Governance,"Maintains a verified inventory of all physical hardware assets, linking serials, locations, and ownership to configuration records.",Common,Preventative / Detective,Moderate,"Enable accountability, loss detection, and lifecycle tracking.","Shadow assets, disposal verification, integration with CMDB.","Asset theft, configuration drift, audit gaps.",Enterprise IT and OT estates.,SME → Enterprise.,FM-011;FM-032;FM-037;FM-018;FM-030;FM-029;FM-036;FM-038;FM-031;FM-001,Incomplete asset inventories enable untracked devices and unmanaged dependencies. Comprehensive asset and dependency registers reveal hidden inter-system reliance.,CRT-N-0032; CRT-N-0038; CRT-N-0067; CRT-N-0079; CRT-N-0047,Complements CRT-C-0051 (Vulnerability Management) and supports ISO 55000 alignment.
CRT-G-10,Physical and Environmental Security,CRT-C-0058,Environmental Controls and Monitoring,Facilities Environmental Controls,"Establishes environmental safeguards for temperature, humidity, power, and water ingress, with real-time alerts and redundancy triggers.",Common,Preventative / Detective,Moderate,Maintain operational stability and hardware longevity.,"Sensor calibration, alert fatigue, maintenance windows.","Hardware degradation, unplanned outage, data loss.",Data-centre and equipment-room operations.,SME → Enterprise.,FM-008;FM-020;FM-036;FM-024;FM-040;FM-023;FM-017,"Environmental failures cause cascading disruption, particularly where backup systems are co-located. Mapping shared dependencies and sequencing control execution prevents recursive or circular control failure. Environmental monitoring exposes cascading dependencies and avoids reciprocal failures.",CRT-N-0072; CRT-N-0076,Integrates with business-continuity and facilities-management frameworks.
CRT-G-10,Physical and Environmental Security,CRT-C-0059,Physical Access Logging and Surveillance,Physical Logging & Surveillance,Captures and retains logs from physical-access systems and CCTV to support investigation and compliance.,Common,Detective,Moderate,Provide auditable evidence of facility-access events.,"Retention limits, privacy regulation, storage capacity.","Lost audit trail, undetected intrusion, legal liability.",All secure and restricted facilities.,SME → Enterprise.,FM-005;FM-015;FM-019;FM-023;FM-036;FM-041;FM-007;FM-003,Lack of surveillance integration undermines forensic traceability and policy enforcement.,CRT-N-0058; CRT-N-0076,Essential to forensic readiness and legal defensibility.
CRT-G-10,Physical and Environmental Security,CRT-C-0060,Backup Facility and Redundancy Planning,Backup Sites & Redundancy,"Defines geographic redundancy, failover infrastructure, and contingency arrangements for sustained service availability.",Contextual,Corrective,High,Ensure operational continuity following facility or environmental failure.,"Cost justification, replication latency, multi-vendor coordination.","Extended downtime, data unavailability, reputational impact.",All critical business and IT operations.,SME → Enterprise → Critical Infrastructure.,FM-020;FM-029;FM-030;FM-036;FM-040;FM-032;FM-037,Weak redundancy posture or shared-region dependency increases systemic failure impact. Mapping shared dependencies and sequencing control execution prevents recursive or circular control failure. Structured recovery tests and dependency audits validate multi-path restoration.,CRT-N-0073; CRT-N-0074; CRT-N-0064,Completes the resilience-layer chain; aligns with ISO 22301 and DORA continuity requirements.
CRT-G-10,Physical and Environmental Security,CRT-C-0062,Backup and Restoration Policy Governance,Continuity and Data Recovery,"Establishes policy requirements for backup creation, encryption, off-site storage, and periodic restoration testing to ensure recoverability and compliance with continuity objectives.",Common,Corrective,Moderate–High,"Maintain reliable data recoverability through verifiable, policy-driven backup and restoration practices.","Incomplete coverage, testing neglect, dependency on third-party infrastructure, and misaligned recovery objectives.","Data loss, prolonged downtime, compliance failure, or financial impact from recovery delay.","On-premise and cloud-hosted infrastructure, backup appliances, and managed storage providers.","Enterprise data protection, cloud backup orchestration, disaster-recovery planning, regulatory continuity testing.",FM-020;FM-018;FM-036;FM-023;FM-024;FM-040;FM-032,"Embeds governance oversight into technical backup operations, ensuring recoverability validation and alignment with strategic continuity objectives.",CRT-N-0064; CRT-N-0101; CRT-N-0103,Complements CRT-C-0060 (Backup Facility and Redundancy Planning) by formalising policy assurance and recovery testing cadence.