failure_id,failure_name,category,likelihood,severity,description,indicative_signals,rationale,notes
FM-001,Misconfiguration,Human / Operational,Medium,Medium,Control settings incorrectly implemented or inconsistent with baseline; recurring deviation after updates.,Configuration drift detected; repeated deviations from baseline; rollback events increasing.,"Configuration drift reflects unmanaged change, indicating control execution is inconsistent or bypassed.","Configuration baselines, segmentation policies, and continuous monitoring reduce setup drift and inconsistent enforcement."
FM-002,Patch Lag,Process / Technical,High,Medium,Delay in applying security updates or firmware; exposure window widened.,Patch backlog > threshold; recurring “out-of-date” alerts; known CVEs unpatched.,Patch backlog exposes systems to known vulnerabilities and signals weak update discipline.,Integrated vulnerability and patch workflows minimise exposure from delayed updates.
FM-003,Credential Theft,Human / Technical,High,High,"Compromise of credentials through phishing, malware, or reuse across systems.",Multiple failed logins followed by success; anomalous geolocation; MFA bypass events.,Abnormal login patterns or MFA bypass attempts suggest compromised credentials in use.,"Strong credential hygiene, adaptive authentication, and mobile safeguards reduce theft probability."
FM-004,Token Reuse / MFA Fatigue,Technical,Medium,High,Over-used or easily phished multi-factor tokens; push-fatigue exploitation.,Excessive push notifications; repeated MFA prompts ignored; token reuse in logs.,Repetitive MFA prompts and reused tokens imply user fatigue or token interception risk.,Multi-factor rotation and contextual authorisation detect fatigue or replay attempts.
FM-005,Insider Misuse,Human,Low,High,Legitimate access abused for unauthorised activity or data exfiltration.,Data access outside normal hours; privileged downloads; abnormal copy activity.,Irregular data-access events imply misuse of legitimate privileges or insider activity.,Behavioural analytics and physical access logging constrain privileged misuse.
FM-006,Privilege Escalation,Technical,Medium,High,Unauthorised increase in access level due to flawed permissions or exploits.,Sudden role changes; privilege escalation alerts; ACL modifications without ticket.,Sudden privilege changes without justification indicate potential escalation or control gaps.,Privilege lifecycle governance limits unauthorised elevation paths.
FM-007,Misaligned Logging,Process / Technical,Medium,Medium,"Critical events not captured, parsed, or correlated; gaps in audit trail.",Missing or truncated logs; gaps in time sequence; uncorrelated alert spikes.,Missing or incomplete logs prevent detection and post-incident analysis.,Unified telemetry and anomaly detection ensure high-fidelity event capture.
FM-008,Backup Corruption,Technical,Low,High,"Backups damaged, encrypted, or unverified; restoration integrity uncertain.",Backup verification errors; checksum mismatches; failed restore tests.,Failed restore or checksum errors show backups may be unusable during recovery.,Environmental isolation and redundancy validation protect restoration integrity.
FM-009,Vendor Dependency Failure,Organisational / Supply Chain,Medium,High,Third-party outage or compromise impacts dependent internal controls.,Third-party outage notices; SLA breach alerts; dependency-chain failures.,Vendor service disruptions or SLA breaches highlight over-reliance on third parties.,Multi-vendor oversight and tested recovery plans reduce single-point-of-failure risk.
FM-010,API Exploit / Integration Drift,Technical,Medium,High,Vulnerability introduced through evolving inter-system communication.,API errors after update; schema mismatch; integration heartbeat failures.,Integration failures or API drift reveal insecure inter-system dependencies.,Secure API gateways and integration governance detect unauthorised calls or schema drift.
FM-011,Shadow IT Deployment,Human / Organisational,Medium,Medium,Unauthorised tools or services bypass governance and monitoring.,Unregistered SaaS traffic; unmanaged endpoints; unknown DNS calls.,Unmanaged tools indicate poor asset governance and hidden exposure points.,Awareness programs and asset inventories expose unsanctioned applications.
FM-012,Data Classification Error,Process,High,Medium,Incorrect or missing sensitivity tagging leads to mis-handled data.,Files missing sensitivity labels; inconsistent metadata; DLP mis-tags.,Inconsistent data labelling undermines confidentiality and DLP effectiveness.,Enforced classification policy and device tagging mitigate unlabelled data flow.
FM-013,Third-Party Data Leakage,Supply Chain,Medium,High,Data exposure via external partner platform or integration point.,External file-sharing detected; data found on partner domains; leakage alerts.,External file sharing or partner leaks point to insufficient third-party safeguards.,Vendor assessments and integrated response protocols contain cross-boundary leaks.
FM-014,Key Compromise,Technical,Low,High,"Encryption or signing keys exposed, reused, or weakly protected.",Key reuse events; expired certificates; unauthorized key export logs.,Key reuse or expired certificates compromise encryption trust chains.,Encryption-key rotation and protected transport maintain cryptographic trust.
FM-015,Misconfigured Access Policy,Technical,Medium,High,ACLs overly permissive; conflicting roles or group inheritance.,Overlapping group permissions; broad “any” access rules; orphaned accounts.,Broad or conflicting access rules create privilege creep and lateral exposure.,Periodic review of logical and physical ACLs ensures least-privilege alignment.
FM-016,Network Segmentation Bypass,Technical,Low,High,Lateral movement enabled through trust-zone misconfiguration.,East-west traffic anomaly; lateral movement indicators; VLAN crossover.,Unexpected internal traffic shows segmentation or isolation controls have been bypassed.,Layered segmentation and patch discipline prevent lateral compromise.
FM-017,Detection Delay,Technical / Process,Medium,Medium,Security event occurs without timely alert or escalation.,Alert latency > SLA; missing correlation between detection and incident start.,Late or missing alerts reduce containment speed and increase impact duration.,Correlated telemetry and playbook integration accelerate alert response.
FM-018,Control Drift,Process,Medium,Medium,Policy implementation diverges from design intent over time.,Control audit deltas increasing; undocumented process steps; config variance.,Divergence between policy and implementation signals process erosion over time.,Continuous assurance and configuration baselining preserve intended control posture.
FM-019,Poor Incident Coordination,Organisational,Medium,Medium,"Roles, responsibilities, or escalation unclear during crisis.",Delayed incident bridge activation; duplicated ownership emails; missed hand-offs.,Unclear incident roles delay containment and reflect weak operational coordination.,Defined roles and rehearsed communication enable cohesive incident response.
FM-020,Incomplete Recovery,Technical / Process,Low,High,"Restoration fails to return systems to a trusted, validated state.",Partial restore success; missing validation reports; residual corruption errors.,Incomplete restoration jeopardises data integrity and continuity assurances.,Tested recovery workflows and redundant facilities restore systems to a trusted state.
FM-021,Governance Lapse,Governance,Medium,High,"Absence of ownership, periodic review, or board visibility.",No control owner listed; overdue review tasks; governance board gap.,Absence of control ownership leads to unmanaged risk and audit failures.,Clear ownership and periodic review cycles sustain control accountability.
FM-022,Policy Drift,Process,High,Medium,Control intent erodes through undocumented procedural change.,Procedure updates unrecorded; staff using obsolete SOPs; version skew.,Untracked procedural updates create ambiguity over current control practice.,Structured policy frameworks and risk-methodology alignment prevent silent divergence.
FM-023,Audit Blind Spot,Governance,Medium,Medium,Control excluded or insufficiently tested within assurance cycle.,Audit scope exclusions unexplained; zero test evidence; missing artefacts.,Missing assurance tests conceal latent control failures from governance view.,Integrated logging and audit coverage eliminate untested control zones.
FM-024,Metadata Loss,Technical,Medium,High,Context stripped during transfer or transformation; lineage broken.,Metadata tags stripped; inconsistent file labels; manual overrides observed.,Lost sensitivity tags reduce visibility of protected data across systems.,Reinforces sensitivity labelling discipline across hybrid environments.
FM-025,SSO / Federation Mis-Trust,Technical,Medium,High,Identity assertion accepted without proper re-validation.,API transfers without context headers; checksum or lineage loss events.,Missing metadata during transfer breaks lineage and integrity verification.,Data-validation and federated-ID frameworks preserve contextual integrity.
FM-026,Awareness Fatigue,Human / Behavioural,High,Medium,Repetition of training causes message desensitisation.,Unvalidated SAML assertions; federation trust errors; stale certificates.,Federation mis-trust exposes identities to replay or assertion spoofing.,Revalidation and signed assertions strengthen federated trust chains.
FM-027,AI Model Drift,Technical / AI,Medium,High,Model performance diverges from validation baseline; accuracy loss.,Decline in training participation; repeated phishing test failures.,Low training engagement increases vulnerability to social engineering.,Rotational awareness and behavioural metrics sustain engagement.
FM-028,Model Poisoning,Technical / AI,Low,Critical,Malicious or biased data injected to influence AI behaviour.,Model accuracy drop; data-drift alerts; deviation from baseline metrics.,Model drift erodes detection accuracy and decision reliability.,Continuous model validation aligns AI behaviour with operational baselines.
FM-029,Cloud Region Concentration,Infrastructure,Low,High,All workloads depend on single provider region; systemic fragility.,Unexpected weight changes; adversarial sample patterns; data-integrity warnings.,"Data poisoning corrupts AI behaviour, creating hidden systemic bias.",Data-integrity and adversarial-testing controls detect manipulation attempts.
FM-030,API Cascade Failure,Technical / Systemic,Low,High,Inter-service dependency triggers multi-system outage chain.,All assets in one CSP region; replication disabled; single-region outage impact.,Regional hosting concentration increases correlated outage risk.,Multi-region redundancy offsets geographic dependency risk.
FM-031,IoT Lifecycle Exhaustion,Operational / IoT,High,Medium,Devices lack patch or decommission plan; security decay over time.,API timeouts cascading; dependency latency spikes; queue backlog growth.,Interdependent API timeouts propagate failures across multiple services.,Dependency mapping and fault isolation prevent systemic outage chains.
FM-032,Quantum Decryption Window,Strategic / Cryptography,Low,Critical,Legacy cryptography vulnerable to future quantum attacks.,Out-of-support firmware; device inventory mismatch; patch compliance < 80 %.,Unpatched or orphaned IoT devices expand the attack surface unchecked.,Lifecycle governance ensures device retirement and patchability.
FM-033,Simulation Stagnation,Operational,Medium,Medium,Incident playbooks untested or unrealistic; stale scenario data.,Cryptographic deprecation warnings; use of non-PQC algorithms.,Legacy cryptography without PQC readiness risks future decryption exposure.,Crypto-agility planning mitigates post-quantum exposure.
FM-034,Resilience Overconfidence,Governance / Analytical,Medium,High,Metrics interpreted without validating data quality or scope.,Exercise overdue; outdated contact lists; test participation < target.,Untested playbooks reduce incident readiness and learning continuity.,Regular scenario exercises preserve procedural readiness.
FM-035,Alert Suppression / Filtering Error,Technical / Process,Medium,Medium,SIEM rules or filters hide legitimate alerts; signals dropped.,Dashboard anomalies ignored; data-integrity warnings dismissed.,Ignoring anomalous dashboards shows misplaced confidence in metrics.,Metrics contextualised with validated data prevent analytic bias.
FM-036,Telemetry Loss / Integrity Error,Technical,Medium,High,Monitoring data missing or corrupted; situational blindness.,Missing telemetry feed; corrupted log stream; heartbeat gaps detected.,Missing telemetry feeds blind monitoring systems to live conditions.,"Telemetry aggregation, network monitoring, and integrity checks ensure continuity and authenticity of event data."
FM-037,Insufficient Dependency Mapping,Governance / Technical,High,High,Service relationships undocumented; cascade or patch blind spot.,Undefined dependency matrix; missing CMDB entries; patch sequencing issues.,Absent dependency mapping hides cumulative risk in change sequencing.,Asset and supply-chain registries reveal transitive dependencies and strengthen systemic-risk modelling.
FM-038,Third-Party Credential Persistence,Supply Chain,Medium,High,Vendor credentials remain active after contract termination.,Active vendor accounts post-termination; stale API keys; orphaned access tokens.,Residual vendor credentials create unmonitored external access paths.,Off-boarding workflows and federated-identity hygiene prevent dormant external credentials from persisting.
FM-039,Inadequate AI Oversight,Governance / AI,Medium,High,Human validation missing in AI-driven decision loops.,No human review of AI output; override thresholds exceeded; audit trail gaps.,Lack of human review of AI output risks automation bias and error reinforcement.,Model-governance controls and risk-assessment frameworks sustain accountability for AI-driven operations.
FM-040,Resilience-Testing Neglect,Process / Operational,Medium,High,Failover or continuity exercises skipped or simulated poorly.,DR drill skipped; failover logs absent; RTO/RPO targets unverified.,Skipped recovery drills mask resilience weaknesses until actual failure.,"Scenario simulation, continuity testing, and systemic-stress exercises verify preparedness under dynamic conditions."
FM-041,Change-Control Bypass,Process / Human,Medium,Medium,Emergency or manual fixes circumvent change-approval flow.,Change tickets missing; emergency changes unrecorded; version rollback errors.,Unrecorded emergency changes compromise traceability and rollback safety.,Development lifecycle controls and governance checkpoints enforce traceable configuration changes.
FM-042,Cross-Jurisdiction Breach Conflict,Legal / Governance,Low,High,Regulatory reporting timelines or obligations mis-aligned across regions.,Conflicting breach notices; inconsistent reporting timelines; legal escalation flags.,Inconsistent breach reporting causes regulatory and reputational escalation.,Privacy-governance and compliance-reporting controls manage conflicting regulatory obligations across regions.
FM-043,Control Interdependency Loop,Systemic / Analytical,Low,High,"Two or more controls mutually depend on each other’s outputs, creating circular fragility.",Recurring circular alerts; dependent control metrics feeding each other.,Circular alert dependencies inflate confidence scores and mask genuine failure.,Dependency and recovery mapping prevent recursive control failures during cascading events.